https://www.winemag.com/buying-guide/kynsi-2012-nocturnum-commemoration-cuvee-red-central-coast-san-luis-obispo-county/|14.5%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/patz-hall-2013-gaps-crown-vineyard-pinot-noir-sonoma-coast/|14.2%|Red|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/kaleidos-2012-morpheus-red-central-coast-paso-robles/|15.5%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/montemaggiore-2011-paolos-vineyard-estate-grown-shiraz-syrah-syrah-sonoma-dry-creek-valley/|13.6%|Red|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/joseph-drouhin-2012-premier-cru-chambolle-musigny-219329/|13%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/alex-gambal-2013-pinot-noir-vosne-romanee/|12.5%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/alex-gambal-2013-greves-premier-cru-pinot-noir-beaune/|12.5%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/gloria-ferrer-2007-royal-cuvee-brut-late-disgorged-sparkling-napa-sonoma-carneros/|12.5%|Sparkling|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/goldeneye-2012-narrows-vineyard-pinot-noir-mendocino-lake-counties-anderson-valley/|14.5%|Red|12/31/2015|Jim Gordon
https://www.winemag.com/buying-guide/louis-jadot-2013-lavaux-saint-jacques-premier-cru-pinot-noir-gevrey-chambertin/|13%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/louis-jadot-2013-clos-ursules-premier-cru-pinot-noir-beaune/|13%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/foxen-2013-john-sebastiano-vineyard-pinot-noir-central-coast-sta-rita-hills/|13.8%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/montecariano-2011-red-amarone-della-valpolicella-classico/|16%|Red|12/31/2015|Kerin O’Keefe
https://www.winemag.com/buying-guide/papapietro-perry-2012-nunes-vineyard-pinot-noir-sonoma-russian-river-valley/|13.7%|Red|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/trimbach-2012-reserve-riesling-alsace/|13%|White|12/31/2015|Anne Krebiehl MW
https://www.winemag.com/buying-guide/three-sticks-2013-pinot-noir-sonoma-russian-river-valley/|14%|Red|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/thomas-fogarty-2012-rapley-trail-vineyard-m-block-pinot-noir-central-coast-santa-cruz-mountains/|13.2%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/testarossa-2013-rosellas-vineyard-chardonnay-central-coast-santa-lucia-highlands/|14.3%|White|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/domaine-zind-humbrecht-2013-rotenberg-pinot-grigio-gris-gris-alsace/|14%|White|12/31/2015|Anne Krebiehl MW
https://www.winemag.com/buying-guide/pellet-estate-2013-sunchase-vineyard-chardonnay-sonoma-coast/|14.6%|White|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/pasqua-2011-famiglia-red-amarone-della-valpolicella/|15.5%|Red|12/31/2015|Kerin O’Keefe
https://www.winemag.com/buying-guide/poseidon-2012-primos-hill-pinot-noir-napa-sonoma-los-carneros/|14.3%|Red|12/31/2015|Jim Gordon
https://www.winemag.com/buying-guide/rexford-2012-fambrini-vineyard-pinot-noir-central-coast-santa-cruz-mountains/|13.9%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/diora-2013-petite-grace-pinot-noir-central-coast-monterey/|14.5%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/chateau-grand-boise-2012-cuvee-1610-red-blend-provence-cotes/|14.5%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/dobogo-2012-mylitta-other-white-furmint-tokaj/|12%|Dessert|12/31/2015|Jeff Jenssen
https://www.winemag.com/buying-guide/boeckel-2013-brandluft-vieilles-vignes-riesling-alsace/|12.5%|White|12/31/2015|Anne Krebiehl MW
https://www.winemag.com/buying-guide/alex-gambal-2013-premier-cru-pinot-noir-savigny-beaune/|12.5%|Red|12/31/2015|Roger Voss
https://www.winemag.com/buying-guide/anglim-2012-best-barrel-blend-red-central-coast-paso-robles/|15.4%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/bella-2012-lily-hill-zinfandel-sonoma-dry-creek-valley/|14.6%|Red|12/31/2015|Jim Gordon
https://www.winemag.com/buying-guide/nuggucciet-2013-brody-pinot-noir-central-coast-santa-maria-valley/|13.7%|Red|12/31/2015|Matt Kettmann
https://www.winemag.com/buying-guide/gloria-ferrer-nv-sonoma-brut-sparkling-sonoma-county-224182/|12.5%|Sparkling|12/31/2015|Virginie Boone
https://www.winemag.com/buying-guide/gerard-bertrand-2012-forge-red-blend-carignan-syrah-corbieres-boutenac/|15%|Red|12/31/2015|Lauren Buzzeo
