https://www.winemag.com/buying-guide/domaines-devillard-2016-domaine-des-perdrix-echezeaux-304494/|13%|Red|12/31/2018
https://www.winemag.com/buying-guide/la-jota-vineyard-2015-cabernet-franc-howell-mountain-304144/|14.4%|Red|12/31/2018
https://www.winemag.com/buying-guide/daniel-2015-ferrington-vineyard-pinot-noir-anderson-valley-303290/|13.3%|Red|12/31/2018
https://www.winemag.com/buying-guide/lynmar-2016-monastery-pinot-noir-russian-river-valley/|14.2%|Red|12/31/2018
https://www.winemag.com/buying-guide/stolpman-2016-angeli-syrah-ballard-canyon-303539/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-faiveley-2016-clos-de-vougeot-304503/|13.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-chandon-de-briailles-2016-corton-bressandes/|13.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/marchisio-tenuta-ca-du-russ-2007-faiv-brut-rose-metodo-tradizionale-roero-superiore-303329/|13%|Sparkling|12/31/2018
https://www.winemag.com/buying-guide/vidal-fleury-2016-gigondas-304106/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/sanford-2014-block-6-pinot-noir-sta-rita-hills-303183/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/robert-biale-2016-monte-rosso-vineyard-zinfandel-moon-mountain-district-sonoma-county-303956/|14.4%|Red|12/31/2018
https://www.winemag.com/buying-guide/paltrinieri-2017-leclisse-lambrusco-di-sorbara/|11.5%|Sparkling|12/31/2018
https://www.winemag.com/buying-guide/langman-estate-2014-vincent-henrys-barbera-sierra-foothills/|14.6%|Red|12/31/2018
https://www.winemag.com/buying-guide/la-ferme-du-mont-2016-juganda-gigondas-303993/|14%|Red|12/31/2018
https://www.winemag.com/buying-guide/margerum-2017-sybarite-sauvignon-blanc-happy-canyon-of-santa-barbara-303856/|12.5%|White|12/31/2018
https://www.winemag.com/buying-guide/les-grandes-serres-2016-la-combe-des-marchands-gigondas-303901/|N/A|Red|12/31/2018
https://www.winemag.com/buying-guide/lavau-2016-gigondas-304098/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-faiveley-2016-les-cazetiers-premier-cru-gevrey-chambertin-304502/|13%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-du-roucas-de-st-pierre-2016-gigondas-304117/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-dourea-2016-gigondas-304113/|14.7%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-des-bosquets-2016-les-routes-gigondas-304160/|14.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/davies-2016-piedra-libre-vineyards-pinot-noir-sonoma-coast/|13.9%|Red|12/31/2018
https://www.winemag.com/buying-guide/salvaterra-2008-cave-di-prun-riserva-amarone-della-valpolicella-classico-304085/|15.5%|Red|12/31/2018
https://www.winemag.com/buying-guide/folded-hills-2016-grant-grenache-santa-ynez-valley-303012/|13.1%|Red|12/31/2018
https://www.winemag.com/buying-guide/pietradolce-2016-contrada-santo-spirito-etna-303732/|14%|Red|12/31/2018
https://www.winemag.com/buying-guide/domaine-michel-et-joanna-ecard-2015-les-narbantons-premier-cru-savigny-les-beaune/|13%|Red|12/31/2018
https://www.winemag.com/buying-guide/gilles-morat-2016-domaine-chataigneraie-laborie-terroirs-de-vergisson-pouilly-fuisse/|13%|White|12/31/2018
https://www.winemag.com/buying-guide/robert-biale-2016-pagani-ranch-zinfandel-sonoma-county-303972/|14.6%|Red|12/31/2018
https://www.winemag.com/buying-guide/portalupi-2016-pauli-ranch-barbera-mendocino-county/|15.8%|Red|12/31/2018
https://www.winemag.com/buying-guide/patz-hall-2016-chardonnay-sonoma-coast/|14.2%|White|12/31/2018
https://www.winemag.com/buying-guide/easton-2015-zinfandel-fiddletown/|14.5%|Red|12/31/2018
